,target,pol_id,weather,sources,train_score,val_score
0,AQI,7,True,"AQI, lag, gen_lag",3.542295951763197,7.429274530771139
1,AQI,7,False,"AQI, gen_lag",13.617533130751092,10.619566120910243
2,AQI,7,False,"AQI, lag, gen_lag",12.279893124829993,12.105679637383169
3,C_mean,7,True,"C_mean, gen_lag",8.139091631156132,8.057300461063658
4,C_mean,6001,True,"C_mean, lag, gen_lag",2.1179197091714705,19.35900431623397
5,AQI,6001,True,"AQI, lag, gen_lag",9.952002990606282,49.29108883468736
6,C_mean,6001,False,"C_mean, lag, gen_lag",4.719887831045539,24.367074160427244
7,AQI,5,True,"AQI, lag, gen_lag",4.36542051478995,7.632124720212325
8,C_mean,5,True,"C_mean, lag, gen_lag",3.7792682925951997,6.9379282808021365
9,C_mean,5,False,"C_mean, gen_lag",2.4552654264680362,7.0026359052311795
10,AQI,5,False,"AQI, gen_lag",5.521119338443206,5.454182529772568
11,AQI,8,True,"AQI, lag, gen_lag",4.45541823885513,3.102035721368486
12,AQI,8,True,"AQI, lag, gen_lag",4.45541823885513,3.102035721368486
13,AQI,8,False,"AQI, lag, gen_lag",7.481730399245865,9.675247691475747
14,C_mean,8,True,"C_mean, lag, gen_lag",5.310852609460981,6.591070690734818
